Description,Department,Sub Department,Classification,Supplier,Dimension / Category,Name,Consignee,Actual Date of Arrival,Delivered to Atiak Farm,Identification details,Plate No,Chassis No or PIN,Engine No,Serial No,Year of Manufacture,Unit price in USD
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Double Cab,Horyal,23/09/2023,Received,,UBP 891M,MR0KB8CD901216960,2GD-5366842,NA,2023," $28,650.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Double Cab,Horyal,23/09/2023,Received,,UBP 889M,MR0KB8CD501141707,2GD-D195874,NA,2023," $28,650.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP056P,MR0DA8CB105886019,1GD-1306761,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP060P,MR0DA8CB905895700,1GD-1427961,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP110P,MR0DA8CBX05895012,1GD-1415940,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP058P,MR0DA8CB505895659,1GD-1427391,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP059P,MR0DA8CB905886785,1GD-1315063,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP057P,MR0DA8CB605886419,1GD-1311050,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP052P,MR0DA8CB105895240,1GD-1419089,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP089P,MR0DA8CB105894279,1GD-1405976,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP088P,MR0DA8CB605894262,1GD-1405285,NA,2023," $21,730.00 "
TOYOTA PICKUP HILUX REVO,Agriculture,Workshop,,Arnold Brooklyn & Co. Ltd,Pickup,Single Cab,Horyal,23/09/2023,Received,,UBP055P,MR0DA8CB305887222,1GD-1319958,NA,2023," $21,730.00 "
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
